"","BLO_S1_LD1","BLO_S1_LD2","BLO_S1_LD3","BLO_S2_LD1","BLO_S2_LD2","BLO_S2_LD3","BLO_S3_LD1","BLO_S3_LD2","BLO_S3_LD3","BLO_S4_LD1","BLO_S4_LD2","BLO_S4_LD3","KID_S1_LD1","KID_S1_LD2","KID_S1_LD3","KID_S2_LD1","KID_S2_LD2","KID_S2_LD3","KID_S3_LD1","KID_S3_LD2","KID_S3_LD3","KID_S4_LD1","KID_S4_LD2","KID_S4_LD3"
"BLO_S1_LD1",1,0.924393561830532,0.990656500845375,0.660364025456657,0.744564743366509,0.733676931425188,0.661125893299173,0.65894561988557,0.676614589630769,0.555763957286828,0.561400534303944,0.548175243644181,0.91945621730371,0.971735138464978,0.923251477698283,0.722006276464747,0.713677426700258,0.676663165769894,0.642183980694936,0.642622659773417,0.614292774726881,0.550776787339223,0.547893032541306,0.555905542562264
"BLO_S1_LD2",0.924393561830532,1,0.939122332825946,0.690387100704621,0.778337702692834,0.766698573856708,0.690614287690436,0.688206283867365,0.707242640729909,0.573635187493482,0.577144999304405,0.564907167157501,0.967407966848416,0.939657752566813,0.967569298569525,0.746024531664671,0.736863001568159,0.702525463948247,0.669673100085626,0.666250948236325,0.634346892377632,0.5637219076598,0.563701440029402,0.570838727306415
"BLO_S1_LD3",0.990656500845375,0.939122332825946,1,0.645524494690939,0.739329327376949,0.72693349854131,0.672044593236739,0.669842562138051,0.68083986358999,0.566290256455436,0.570683623525422,0.559621780346828,0.912674409415048,0.95981376679909,0.915312606914884,0.700478936081586,0.694510572070256,0.660058917633773,0.650042796465113,0.65000916943789,0.617110218080886,0.556299297050468,0.557151642302975,0.562772574403606
"BLO_S2_LD1",0.660364025456657,0.690387100704621,0.645524494690939,1,0.957083446879822,0.911490752883422,0.837009319345948,0.852711320794081,0.913444529251937,0.767969685850434,0.764537422671794,0.772232720477365,0.654271930345194,0.685946676150916,0.670992567625466,0.958162657209167,0.937570236796391,0.899967648798816,0.831368905867247,0.850303952718745,0.842172441960737,0.783822323708067,0.762094151707659,0.769157461435708
"BLO_S2_LD2",0.744564743366509,0.778337702692834,0.739329327376949,0.957083446879822,1,0.984062743677587,0.92989971567686,0.937354469862414,0.970074580170468,0.862633086510919,0.858669508269137,0.864352923512584,0.738919780040324,0.772583422747054,0.763821255215298,0.980019549420378,0.978284627019553,0.957370203201078,0.921051555119006,0.929504864944397,0.925082795777158,0.872948144336308,0.857071475250817,0.863683090712508
"BLO_S2_LD3",0.733676931425188,0.766698573856708,0.72693349854131,0.911490752883422,0.984062743677587,1,0.918661084445053,0.921379851759692,0.949045415417549,0.85286888875841,0.84600363145867,0.851787899451841,0.73666441828936,0.76271051953795,0.76331621375092,0.975617724492796,0.987374132056187,0.985315121503914,0.915746669727034,0.911516276127832,0.92339976528327,0.864934719810999,0.848886842873199,0.85764147647996
"BLO_S3_LD1",0.661125893299173,0.690614287690436,0.672044593236739,0.837009319345948,0.92989971567686,0.918661084445053,1,0.99854465494772,0.985616158169352,0.978511952632996,0.975908599106694,0.977798022663252,0.625213334311456,0.678290773736835,0.66188923452268,0.867989527781208,0.878616151810598,0.863902867960274,0.993738411334762,0.996791121071002,0.98941030643313,0.97643994539863,0.975418385382641,0.97543815270038
"BLO_S3_LD2",0.65894561988557,0.688206283867365,0.669842562138051,0.852711320794081,0.937354469862414,0.921379851759692,0.99854465494772,1,0.990215329449618,0.974862305339308,0.972121710183172,0.975794192036099,0.622084774597666,0.67708440425118,0.658891874520325,0.874334877058243,0.883349493778879,0.86604580204417,0.990755911998021,0.99716450633184,0.987515956740672,0.973387411235808,0.971318601283227,0.970811649521124
"BLO_S3_LD3",0.676614589630769,0.707242640729909,0.68083986358999,0.913444529251937,0.970074580170468,0.949045415417549,0.985616158169352,0.990215329449618,1,0.947995738996229,0.944577359416686,0.950005546995664,0.646249476621289,0.696107716546798,0.679563525316376,0.923297903765114,0.926289815867427,0.905130582128373,0.978461526566502,0.987146095851205,0.979080213781087,0.951709866617796,0.943741881581392,0.945674009216941
"BLO_S4_LD1",0.555763957286828,0.573635187493482,0.566290256455436,0.767969685850434,0.862633086510919,0.85286888875841,0.978511952632996,0.974862305339308,0.947995738996229,1,0.99879142000905,0.998105433466777,0.505171422380707,0.568293772141214,0.544962138106931,0.797234829713074,0.810701792358671,0.800641786286652,0.978315504980836,0.980436032818579,0.978000459278155,0.99630884160629,0.998757747407115,0.997281959425709
"BLO_S4_LD2",0.561400534303944,0.577144999304405,0.570683623525422,0.764537422671794,0.858669508269137,0.84600363145867,0.975908599106694,0.972121710183172,0.944577359416686,0.99879142000905,1,0.997648818079099,0.511025821657294,0.57473600960644,0.550204060795054,0.792672432485512,0.804521991018722,0.791445554568258,0.974976912824287,0.978514130799171,0.973830872984433,0.995844664896206,0.998205808837322,0.997132949456229
"BLO_S4_LD3",0.548175243644181,0.564907167157501,0.559621780346828,0.772232720477365,0.864352923512584,0.851787899451841,0.977798022663252,0.975794192036099,0.950005546995664,0.998105433466777,0.997648818079099,1,0.495007403983631,0.561637157875623,0.535869494747667,0.794781967979815,0.808632773929161,0.796877303102678,0.974682423938494,0.980180061396978,0.975337549679784,0.99572896496613,0.996988768604507,0.995144431200809
"KID_S1_LD1",0.91945621730371,0.967407966848416,0.912674409415048,0.654271930345194,0.738919780040324,0.73666441828936,0.625213334311456,0.622084774597666,0.646249476621289,0.505171422380707,0.511025821657294,0.495007403983631,1,0.969634040571707,0.994472529558035,0.731613398169299,0.726670845549705,0.687208365317619,0.610758147148135,0.605387834879734,0.582584355539062,0.501239238371678,0.496301464287125,0.507234277313882
"KID_S1_LD2",0.971735138464978,0.939657752566813,0.95981376679909,0.685946676150916,0.772583422747054,0.76271051953795,0.678290773736835,0.67708440425118,0.696107716546798,0.568293772141214,0.57473600960644,0.561637157875623,0.969634040571707,1,0.971852011846105,0.755209355899536,0.751752994698408,0.708275030887352,0.662193388856599,0.663031710323971,0.637435499382052,0.56604311974346,0.559988769854287,0.569319568926811
"KID_S1_LD3",0.923251477698283,0.967569298569525,0.915312606914884,0.670992567625466,0.763821255215298,0.76331621375092,0.66188923452268,0.658891874520325,0.679563525316376,0.544962138106931,0.550204060795054,0.535869494747667,0.994472529558035,0.971852011846105,1,0.7502786220873,0.748375076620696,0.710746729103901,0.645927541419834,0.64169624662248,0.61913964498533,0.541144972731845,0.536348257640834,0.546233621987801
"KID_S2_LD1",0.722006276464747,0.746024531664671,0.700478936081586,0.958162657209167,0.980019549420378,0.975617724492796,0.867989527781208,0.874334877058243,0.923297903765114,0.797234829713074,0.792672432485512,0.794781967979815,0.731613398169299,0.755209355899536,0.7502786220873,1,0.993378439695022,0.978104515254258,0.869221117083956,0.871238136105847,0.881751344322805,0.816482845166387,0.793506444334714,0.806115693311574
"KID_S2_LD2",0.713677426700258,0.736863001568159,0.694510572070256,0.937570236796391,0.978284627019553,0.987374132056187,0.878616151810598,0.883349493778879,0.926289815867427,0.810701792358671,0.804521991018722,0.808632773929161,0.726670845549705,0.751752994698408,0.748375076620696,0.993378439695022,1,0.990616952355166,0.882424458882962,0.878802621860795,0.895389847078014,0.828616109540492,0.807212764799057,0.819116549849848
"KID_S2_LD3",0.676663165769894,0.702525463948247,0.660058917633773,0.899967648798816,0.957370203201078,0.985315121503914,0.863902867960274,0.86604580204417,0.905130582128373,0.800641786286652,0.791445554568258,0.796877303102678,0.687208365317619,0.708275030887352,0.710746729103901,0.978104515254258,0.990616952355166,1,0.870602142160708,0.859831735468948,0.887630059289677,0.819858157695513,0.798258264570346,0.811055471879508
"KID_S3_LD1",0.642183980694936,0.669673100085626,0.650042796465113,0.831368905867247,0.921051555119006,0.915746669727034,0.993738411334762,0.990755911998021,0.978461526566502,0.978315504980836,0.974976912824287,0.974682423938494,0.610758147148135,0.662193388856599,0.645927541419834,0.869221117083956,0.882424458882962,0.870602142160708,1,0.994155503724461,0.99537017748824,0.977735987850865,0.976760057827552,0.978758660483557
"KID_S3_LD2",0.642622659773417,0.666250948236325,0.65000916943789,0.850303952718745,0.929504864944397,0.911516276127832,0.996791121071002,0.99716450633184,0.987146095851205,0.980436032818579,0.978514130799171,0.980180061396978,0.605387834879734,0.663031710323971,0.64169624662248,0.871238136105847,0.878802621860795,0.859831735468948,0.994155503724461,1,0.99190850450301,0.980747694252011,0.978072190952821,0.978849622444397
"KID_S3_LD3",0.614292774726881,0.634346892377632,0.617110218080886,0.842172441960737,0.925082795777158,0.92339976528327,0.98941030643313,0.987515956740672,0.979080213781087,0.978000459278155,0.973830872984433,0.975337549679784,0.582584355539062,0.637435499382052,0.61913964498533,0.881751344322805,0.895389847078014,0.887630059289677,0.99537017748824,0.99190850450301,1,0.981902373126283,0.977784823239194,0.98073338615774
"KID_S4_LD1",0.550776787339223,0.5637219076598,0.556299297050468,0.783822323708067,0.872948144336308,0.864934719810999,0.97643994539863,0.973387411235808,0.951709866617796,0.99630884160629,0.995844664896206,0.99572896496613,0.501239238371678,0.56604311974346,0.541144972731845,0.816482845166387,0.828616109540492,0.819858157695513,0.977735987850865,0.980747694252011,0.981902373126283,1,0.99706682791128,0.998407505465388
"KID_S4_LD2",0.547893032541306,0.563701440029402,0.557151642302975,0.762094151707659,0.857071475250817,0.848886842873199,0.975418385382641,0.971318601283227,0.943741881581392,0.998757747407115,0.998205808837322,0.996988768604507,0.496301464287125,0.559988769854287,0.536348257640834,0.793506444334714,0.807212764799057,0.798258264570346,0.976760057827552,0.978072190952821,0.977784823239194,0.99706682791128,1,0.998510730868267
"KID_S4_LD3",0.555905542562264,0.570838727306415,0.562772574403606,0.769157461435708,0.863683090712508,0.85764147647996,0.97543815270038,0.970811649521124,0.945674009216941,0.997281959425709,0.997132949456229,0.995144431200809,0.507234277313882,0.569319568926811,0.546233621987801,0.806115693311574,0.819116549849848,0.811055471879508,0.978758660483557,0.978849622444397,0.98073338615774,0.998407505465388,0.998510730868267,1
